# N Sco 2012
# 2012-07-15T 0:56:35.2
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       5620.7996  2.80182e-14  1.27723e-15      533.471      24.3186
       5621.9002  2.63366e-14  1.25833e-15      501.658      23.9685
       5623.0008  2.64019e-14  1.22364e-15      503.107      23.3173
       5624.1014  2.82846e-14  1.28352e-15      539.205      24.4685
       5625.2020  2.84413e-14  1.29051e-15      542.416      24.6119
       5626.3026  2.90318e-14  1.30422e-15      553.903      24.8836
       5627.4032  3.46457e-14  1.48753e-15      588.729      25.2774
       5628.5038  3.67716e-14  1.56827e-15      596.971      25.4602
       5629.6044  3.58908e-14  1.54258e-15      582.912      25.0535
       5630.7050  3.19712e-14  1.52647e-15      519.466      24.8021
       5631.8056  3.63189e-14  1.49871e-15      621.393      25.6420
       5632.9062  3.70899e-14  1.51262e-15      629.786      25.6843
       5634.0068  3.82919e-14  1.58800e-15      645.238      26.7585
       5635.1074  4.24592e-14  1.65866e-15      709.956      27.7342
       5636.2080  4.37772e-14  1.68711e-15      726.318      27.9912
       5637.3086  3.76588e-14  1.62169e-15      619.918      26.6953
       5638.4092  4.59662e-14  1.72556e-15      750.698      28.1810
       5639.5098  4.98697e-14  1.80450e-15      812.959      29.4164
       5640.6104  5.16397e-14  1.85333e-15      842.162      30.2248
       5641.7110  5.41280e-14  1.89975e-15      883.107      30.9948
       5642.8116  5.35391e-14  1.87639e-15      873.862      30.6263
       5643.9122  5.96554e-14  1.96331e-15      974.094      32.0583
       5645.0128  6.53032e-14  2.03984e-15      1066.76      33.3218
       5646.1134  6.80971e-14  2.08877e-15      1112.86      34.1352
       5647.2140  6.91959e-14  2.10854e-15      1131.29      34.4727
       5648.3146  6.92519e-14  2.11131e-15      1132.67      34.5323
       5649.4152  6.64973e-14  2.06449e-15      1088.07      33.7806
       5650.5158  6.60059e-14  2.06046e-15      1080.48      33.7286
       5651.6164  6.87287e-14  2.09815e-15      1125.73      34.3663
       5652.7170  6.89775e-14  2.09710e-15      1130.50      34.3702
       5653.8176  7.21530e-14  2.14031e-15      1183.35      35.1021
       5654.9181  7.49019e-14  2.17680e-15      1229.37      35.7279
       5656.0187  7.19742e-14  2.13545e-15      1182.43      35.0823
       5657.1193  6.90533e-14  2.11011e-15      1135.53      34.6992
       5658.2199  7.00090e-14  2.11031e-15      1152.36      34.7361
       5659.3205  6.91873e-14  2.11049e-15      1140.19      34.7804
       5660.4211  7.23654e-14  2.15091e-15      1194.09      35.4919
       5661.5217  7.46014e-14  2.16430e-15      1232.68      35.7619
       5662.6223  7.55820e-14  2.17062e-15      1250.79      35.9211
       5663.7229  7.62121e-14  2.17786e-15      1263.59      36.1087
       5664.8235  7.72732e-14  2.19159e-15      1283.65      36.4064
       5665.9241  7.77379e-14  2.19623e-15      1293.86      36.5539
       5667.0247  7.90500e-14  2.21748e-15      1318.24      36.9786
       5668.1253  7.68052e-14  2.19915e-15      1283.27      36.7436
       5669.2259  7.93363e-14  2.24489e-15      1328.11      37.5800
       5670.3265  8.40336e-14  2.29436e-15      1409.44      38.4818
       5671.4271  8.37888e-14  2.28017e-15      1408.03      38.3172
       5672.5277  8.63706e-14  2.30801e-15      1454.22      38.8601
       5673.6283  8.84537e-14  2.33119e-15      1492.22      39.3272
       5674.7289  8.81584e-14  2.33266e-15      1490.15      39.4290
       5675.8295  8.53877e-14  2.30075e-15      1446.17      38.9668
       5676.9301  8.48374e-14  2.29068e-15      1439.63      38.8711
       5678.0307  8.79880e-14  2.31886e-15      1496.46      39.4382
       5679.1313  8.80662e-14  2.30536e-15      1501.55      39.3070
       5680.2319  8.91737e-14  2.31870e-15      1524.28      39.6344
       5681.3325  8.99707e-14  2.33389e-15      1541.95      39.9989
       5682.4331  9.09426e-14  2.34035e-15      1562.36      40.2064
       5683.5337  8.91563e-14  2.30705e-15      1535.23      39.7263
       5684.6343  8.55415e-14  2.27818e-15      1476.26      39.3165
       5685.7349  8.56908e-14  2.26795e-15      1481.91      39.2212
       5686.8355  8.28145e-14  2.23070e-15      1434.65      38.6438
       5687.9361  8.20257e-14  2.22430e-15      1423.37      38.5977
       5689.0367  8.35031e-14  2.22845e-15      1451.43      38.7345
       5690.1373  8.39601e-14  2.23269e-15      1461.82      38.8733
       5691.2379  8.44236e-14  2.23734e-15      1472.36      39.0194
       5692.3385  8.43339e-14  2.23187e-15      1473.25      38.9891
       5693.4391  8.31608e-14  2.21954e-15      1455.19      38.8385
       5694.5397  7.78624e-14  2.15690e-15      1364.75      37.8056
       5695.6403  7.82151e-14  2.15383e-15      1373.20      37.8141
       5696.7409  7.74634e-14  2.14075e-15      1362.21      37.6454
       5697.8415  7.79706e-14  2.15795e-15      1373.11      38.0030
       5698.9421  7.89201e-14  2.16097e-15      1392.16      38.1198
       5700.0427  7.74228e-14  2.14014e-15      1368.17      37.8192
       5701.1433  7.47323e-14  2.13493e-15      1322.60      37.7838
       5702.2438  7.74182e-14  2.15804e-15      1371.66      38.2352
       5703.3444  8.00194e-14  2.17215e-15      1419.56      38.5344
       5704.4450  7.87013e-14  2.14590e-15      1398.07      38.1204
       5705.5456  7.97117e-14  2.16849e-15      1418.18      38.5802
       5706.6462  8.01893e-14  2.16130e-15      1428.84      38.5108
       5707.7468  8.20157e-14  2.18758e-15      1463.61      39.0384
       5708.8474  7.87423e-14  2.15001e-15      1407.33      38.4263
       5709.9480  8.38732e-14  2.19973e-15      1501.31      39.3747
       5711.0486  8.38743e-14  2.21620e-15      1503.61      39.7297
       5712.1492  8.20375e-14  2.18337e-15      1472.91      39.2006
       5713.2498  8.78904e-14  2.25075e-15      1580.39      40.4717
       5714.3504  8.97168e-14  2.26678e-15      1615.68      40.8217
       5715.4510  8.38618e-14  2.19442e-15      1512.53      39.5785
       5716.5516  8.35666e-14  2.20175e-15      1509.48      39.7707
       5717.6522  8.68053e-14  2.22606e-15      1570.36      40.2707
       5718.7528  8.61960e-14  2.23676e-15      1561.69      40.5254
       5719.8534  8.55018e-14  2.23036e-15      1551.45      40.4705
       5720.9540  8.85314e-14  2.24978e-15      1608.85      40.8845
       5722.0546  9.27758e-14  2.29858e-15      1688.09      41.8236
       5723.1552  9.46597e-14  2.32505e-15      1724.33      42.3534
       5724.2558  9.54117e-14  2.31856e-15      1739.79      42.2780
       5725.3564  9.53997e-14  2.32716e-15      1741.30      42.4770
       5726.4570  9.63259e-14  2.33120e-15      1759.90      42.5916
       5727.5576  1.01660e-13  2.40345e-15      1858.90      43.9479
       5728.6582  1.03283e-13  2.40574e-15      1890.02      44.0236
       5729.7588  1.05843e-13  2.43609e-15      1938.36      44.6133
       5730.8594  1.09843e-13  2.48502e-15      2013.15      45.5446
       5731.9600  1.11972e-13  2.50366e-15      2053.76      45.9215
       5733.0606  1.15986e-13  2.54895e-15      2129.02      46.7881
       5734.1612  1.21591e-13  2.61113e-15      2233.63      47.9664
       5735.2618  1.27008e-13  2.65866e-15      2334.93      48.8772
       5736.3624  1.22519e-13  2.61382e-15      2254.14      48.0898
       5737.4630  1.22941e-13  2.62597e-15      2263.64      48.3506
       5738.5636  1.22067e-13  2.60841e-15      2249.28      48.0643
       5739.6642  1.22247e-13  2.60716e-15      2254.33      48.0782
       5740.7648  1.19516e-13  2.58625e-15      2205.69      47.7295
       5741.8654  1.17223e-13  2.55749e-15      2165.04      47.2351
       5742.9660  1.17152e-13  2.54225e-15      2165.38      46.9899
       5744.0666  1.20297e-13  2.57663e-15      2225.24      47.6620
       5745.1672  1.16343e-13  2.54122e-15      2153.76      47.0434
       5746.2678  1.11676e-13  2.49772e-15      2069.98      46.2964
       5747.3684  1.16396e-13  2.52675e-15      2161.19      46.9154
       5748.4690  1.14010e-13  2.51532e-15      2120.51      46.7835
       5749.5695  1.14174e-13  2.49846e-15      2126.86      46.5421
       5750.6701  1.15420e-13  2.52190e-15      2153.38      47.0510
       5751.7707  1.17325e-13  2.54204e-15      2192.06      47.4945
       5752.8713  1.19664e-13  2.56384e-15      2239.07      47.9730
       5753.9719  1.15841e-13  2.51889e-15      2170.89      47.2049
       5755.0725  1.16994e-13  2.52969e-15      2195.94      47.4815
       5756.1731  1.14130e-13  2.49834e-15      2145.55      46.9666
       5757.2737  1.16468e-13  2.51748e-15      2192.92      47.4005
       5758.3743  1.18960e-13  2.53880e-15      2243.35      47.8768
       5759.4749  1.14280e-13  2.48477e-15      2158.52      46.9321
       5760.5755  1.13927e-13  2.48735e-15      2155.59      47.0625
       5761.6761  1.13212e-13  2.46874e-15      2145.79      46.7917
       5762.7767  1.12143e-13  2.46322e-15      2129.21      46.7682
       5763.8773  1.12780e-13  2.48279e-15      2145.03      47.2216
       5764.9779  1.09165e-13  2.43556e-15      2079.86      46.4035
       5766.0785  1.09374e-13  2.42683e-15      2087.46      46.3174
       5767.1791  1.09263e-13  2.41911e-15      2089.14      46.2539
       5768.2797  1.08133e-13  2.40426e-15      2071.27      46.0533
       5769.3803  1.03932e-13  2.37498e-15      1993.46      45.5531
       5770.4809  1.02522e-13  2.35166e-15      1968.14      45.1452
       5771.5815  9.88491e-14  2.30321e-15      1899.57      44.2605
       5772.6821  9.69255e-14  2.27635e-15      1864.60      43.7912
       5773.7827  9.31008e-14  2.23834e-15      1792.89      43.1049
       5774.8833  8.70742e-14  2.16072e-15      1678.84      41.6599
       5775.9839  8.67262e-14  2.16648e-15      1674.06      41.8193
       5777.0845  8.28297e-14  2.11483e-15      1600.61      40.8672
       5778.1851  7.92735e-14  2.05950e-15      1533.58      39.8418
       5779.2857  7.39342e-14  1.99263e-15      1431.89      38.5915
       5780.3863  6.85713e-14  1.91395e-15      1329.54      37.1098
       5781.4869  6.62917e-14  1.89282e-15      1286.86      36.7437
       5782.5875  6.66089e-14  1.89550e-15      1294.57      36.8397
       5783.6881  6.86492e-14  1.90918e-15      1335.61      37.1442
       5784.7887  6.99763e-14  1.92192e-15      1363.14      37.4391
       5785.8893  7.02802e-14  1.92802e-15      1371.07      37.6129
       5786.9899  6.87035e-14  1.91730e-15      1342.47      37.4643
       5788.0905  6.97078e-14  1.91798e-15      1364.41      37.5410
       5789.1911  6.64807e-14  1.88187e-15      1303.45      36.8969
       5790.2917  6.65359e-14  1.87829e-15      1306.66      36.8865
       5791.3923  6.40593e-14  1.85049e-15      1260.19      36.4032
       5792.4929  6.04345e-14  1.80859e-15      1191.19      35.6480
       5793.5935  6.26985e-14  1.82109e-15      1238.60      35.9753
       5794.6941  6.42359e-14  1.83426e-15      1272.00      36.3221
       5795.7947  6.22298e-14  1.81121e-15      1235.28      35.9532
       5796.8952  5.93064e-14  1.77188e-15      1180.12      35.2583
       5797.9958  6.23470e-14  1.80329e-15      1243.56      35.9681
