# N Sco 2012
# 2012-07-19T01:06:17.200
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       2678.9381      0.00000      0.00000      0.00000      6.00000
       2684.6478      0.00000      0.00000      0.00000      6.00000
       2690.3575      0.00000      0.00000      0.00000      6.00000
       2696.0672      0.00000      0.00000      6.03318      7.04009
       2701.7769      0.00000      0.00000      5.98280      7.53453
       2707.4866      0.00000      0.00000      2.09846      6.70806
       2713.1963      0.00000      0.00000      4.20026      6.76433
       2718.9060      0.00000      0.00000      15.1210      7.65717
       2724.6157      0.00000      0.00000      23.3543      7.69098
       2730.3253      0.00000      0.00000      15.8718      7.64539
       2736.0350      0.00000      0.00000      4.82299      7.56895
       2741.7447      0.00000      0.00000      18.4495      7.28725
       2747.4544      0.00000      0.00000      36.4177      8.32622
       2753.1641      0.00000      0.00000      4.41990      7.23393
       2758.8738      0.00000      0.00000      6.63862      7.30639
       2764.5835      0.00000      0.00000      2.30893      6.38030
       2770.2932      0.00000      0.00000      8.43082      7.24329
       2776.0028      0.00000      0.00000      8.45952      7.53023
       2781.7125      0.00000      0.00000      2.47771      6.62574
       2787.4222      0.00000      0.00000      4.83556      6.67768
       2793.1319      0.00000      0.00000      8.03123      7.12554
       2798.8416      0.00000      0.00000      1.54181      6.37135
       2804.5513      0.00000      0.00000      6.40217      7.45588
       2810.2610      0.00000      0.00000      6.85263      7.20677
       2815.9707      0.00000      0.00000      0.00000      6.00000
       2821.6803      0.00000      0.00000      0.00000      6.00000
       2827.3900      0.00000      0.00000      20.9901      7.35316
       2833.0997      0.00000      0.00000      4.68918      6.30229
       2838.8094      0.00000      0.00000      2.62418      7.10592
       2844.5191      0.00000      0.00000      1.21817      6.51338
       2850.2288      0.00000      0.00000      12.3506      6.85783
       2855.9385      0.00000      0.00000      15.9619      7.31355
       2861.6482      0.00000      0.00000      6.24045      6.65095
       2867.3579      0.00000      0.00000      0.00000      6.00000
       2873.0675      0.00000      0.00000     0.902451      6.43428
       2878.7772      0.00000      0.00000      4.94830      7.37801
       2884.4869      0.00000      0.00000      9.32322      7.09371
       2890.1966      0.00000      0.00000      0.00000      6.00000
       2895.9063      0.00000      0.00000      1.26666      6.07030
       2901.6160      0.00000      0.00000      28.5146      7.58257
       2907.3257      0.00000      0.00000      8.17854      7.47330
       2913.0354      0.00000      0.00000      31.1175      8.59923
       2918.7450      0.00000      0.00000      19.3815      7.78773
       2924.4547      0.00000      0.00000      6.47028      7.28269
       2930.1644      0.00000      0.00000      20.4717      8.09753
       2935.8741      0.00000      0.00000      24.0043      8.00352
       2941.5838      0.00000      0.00000      14.5911      7.35187
       2947.2935      0.00000      0.00000      5.02725      6.58449
       2953.0032      0.00000      0.00000      11.6077      6.92966
       2958.7129      0.00000      0.00000      18.0085      7.44229
       2964.4226      0.00000      0.00000      3.73858      6.35122
       2970.1322      0.00000      0.00000      9.60099      6.90195
       2975.8419      0.00000      0.00000      0.00000      6.00000
       2981.5516      0.00000      0.00000     0.628506      6.14541
       2987.2613      0.00000      0.00000      5.66039      7.18778
       2992.9710      0.00000      0.00000      13.5820      7.26040
       2998.6807      0.00000      0.00000      31.4187      7.51544
       3004.3904      0.00000      0.00000      3.25274      6.15394
       3010.1001      0.00000      0.00000      13.3824      7.16463
       3015.8097      0.00000      0.00000      16.7093      7.28348
       3021.5194      0.00000      0.00000      4.44936      6.33052
       3027.2291      0.00000      0.00000      14.7157      6.92123
       3032.9388      0.00000      0.00000      24.6832      7.69771
       3038.6485      0.00000      0.00000      19.4909      7.45274
       3044.3582      0.00000      0.00000      14.2518      7.21000
       3050.0679      0.00000      0.00000      37.3020      8.06084
       3055.7776      0.00000      0.00000      40.7566      8.20991
       3061.4872      0.00000      0.00000      13.0346      7.39132
       3067.1969      0.00000      0.00000      17.5556      7.54709
       3072.9066      0.00000      0.00000      19.9469      7.48112
       3078.6163      0.00000      0.00000      25.6104      7.94517
       3084.3260      0.00000      0.00000      53.0807      9.16304
       3090.0357      0.00000      0.00000      13.9719      7.77035
       3095.7454      0.00000      0.00000     0.837297      7.34049
       3101.4551      0.00000      0.00000     0.349541      6.08769
       3107.1648      0.00000      0.00000      7.69412      7.93012
       3112.8744      0.00000      0.00000      30.4220      8.74538
       3118.5841      0.00000      0.00000      23.7841      8.04542
       3124.2938      0.00000      0.00000      12.4489      8.19344
       3130.0035      0.00000      0.00000      76.3074      9.83574
       3135.7132      0.00000      0.00000      74.7919      10.3023
       3141.4229      0.00000      0.00000      96.4495      11.0428
       3147.1326      0.00000      0.00000      80.9938      10.4279
       3152.8423      0.00000      0.00000      57.1629      9.40130
       3158.5519      0.00000      0.00000      57.3015      9.70845
       3164.2616      0.00000      0.00000      53.8387      9.58533
       3169.9713      0.00000      0.00000      71.6791      10.0092
       3175.6810      0.00000      0.00000      109.576      11.6572
       3181.3907      0.00000      0.00000      98.9706      11.2224
       3187.1004      0.00000      0.00000      59.2755      9.61170
       3192.8101      0.00000      0.00000      47.7206      10.0143
       3198.5198      0.00000      0.00000      56.3016      10.6649
       3204.2294      0.00000      0.00000      80.6347      10.7842
       3209.9391      0.00000      0.00000      75.5428      10.6873
       3215.6488      0.00000      0.00000      92.7629      11.5260
       3221.3585      0.00000      0.00000      122.075      12.4918
       3227.0682      0.00000      0.00000      95.7336      12.0647
       3232.7779      0.00000      0.00000      77.0309      11.0004
       3238.4876  4.29273e-14  3.87289e-15      146.829      13.2468
       3244.1973  3.50522e-14  3.53810e-15      124.457      12.5625
       3249.9070  3.27663e-14  3.48034e-15      120.748      12.8255
       3255.6166  3.78635e-14  3.58138e-15      144.100      13.6299
       3261.3263  5.00498e-14  3.81717e-15      196.845      15.0128
       3267.0360  3.11767e-14  3.32457e-15      126.543      13.4942
       3272.7457  4.68808e-14  3.66596e-15      195.675      15.3013
       3278.4554  4.24112e-14  3.41505e-15      181.678      14.6291
       3284.1651  3.90951e-14  3.28719e-15      171.983      14.4606
       3289.8748  4.50439e-14  3.38443e-15      203.606      15.2982
       3295.5845  4.35322e-14  3.16595e-15      202.200      14.7053
       3301.2941  2.70719e-14  2.66279e-15      129.105      12.6987
       3307.0038  2.52722e-14  2.58644e-15      123.482      12.6375
       3312.7135  2.70825e-14  2.71488e-15      135.422      13.5754
       3318.4232  2.39360e-14  2.53192e-15      122.456      12.9532
       3324.1329  1.98528e-14  2.25734e-15      103.913      11.8153
       3329.8426  1.60711e-14  2.06851e-15      85.9518      11.0628
       3335.5523  2.52375e-14  2.30731e-15      137.733      12.5921
       3341.2620  2.96873e-14  2.44460e-15      165.262      13.6085
       3346.9716  2.51194e-14  2.31944e-15      142.722      13.1785
       3352.6813  2.42609e-14  2.28581e-15      140.515      13.2391
       3358.3910  2.84073e-14  2.41603e-15      167.490      14.2449
       3364.1007  2.72640e-14  2.48259e-15      163.770      14.9125
       3369.8104  2.45843e-14  2.39113e-15      150.501      14.6382
       3375.5201  2.70227e-14  2.32423e-15      168.427      14.4864
       3381.2298  2.31825e-14  2.22909e-15      146.914      14.1263
       3386.9395  2.60908e-14  2.27547e-15      167.972      14.6494
       3392.6492  3.39059e-14  2.45825e-15      221.714      16.0748
       3398.3588  3.78597e-14  2.48333e-15      251.607      16.5037
       3404.0685  3.12629e-14  2.33199e-15      211.152      15.7505
       3409.7782  3.13058e-14  2.33872e-15      214.956      16.0584
       3415.4879  2.60015e-14  2.15556e-15      181.576      15.0529
       3421.1976  2.28641e-14  2.04419e-15      162.452      14.5242
       3426.9073  3.24597e-14  2.32820e-15      234.769      16.8390
       3432.6170  2.69354e-14  2.12974e-15      198.338      15.6822
       3438.3267  2.65872e-14  2.12515e-15      199.158      15.9190
       3444.0363  3.17654e-14  2.21044e-15      241.834      16.8283
       3449.7460  2.36006e-14  1.89345e-15      182.556      14.6462
       3455.4557  3.11358e-14  2.19600e-15      244.793      17.2652
       3461.1654  3.51822e-14  2.21278e-15      281.438      17.7010
       3466.8751  3.45790e-14  2.22668e-15      281.570      18.1314
       3472.5848  3.45840e-14  2.13268e-15      286.688      17.6791
       3478.2945  3.18944e-14  2.06660e-15      269.120      17.4377
       3484.0042  4.24252e-14  2.32222e-15      364.065      19.9278
       3489.7139  4.33593e-14  2.25281e-15      378.373      19.6590
       3495.4235  3.32199e-14  2.05448e-15      294.758      18.2292
       3501.1332  3.12250e-14  2.01817e-15      281.645      18.2036
       3506.8429  2.38577e-14  1.74283e-15      218.676      15.9745
       3512.5526  2.93159e-14  1.87440e-15      273.145      17.4643
       3518.2623  2.73398e-14  1.82420e-15      258.864      17.2723
       3523.9720  1.82291e-14  1.58868e-15      175.284      15.2762
       3529.6817  2.21884e-14  1.59890e-15      216.597      15.6080
       3535.3914  1.68107e-14  1.48999e-15      166.593      14.7657
       3541.1010  1.75107e-14  1.45495e-15      176.183      14.6389
       3546.8107  1.66501e-14  1.47762e-15      170.105      15.0961
       3552.5204  1.42162e-14  1.38964e-15      147.518      14.4199
       3558.2301  1.14865e-14  1.32767e-15      121.146      14.0027
       3563.9398  2.30306e-14  1.56432e-15      247.077      16.7823
       3569.6495  2.19636e-14  1.50867e-15      239.747      16.4681
       3575.3592  2.35725e-14  1.56376e-15      261.259      17.3315
       3581.0689  1.47956e-14  1.27452e-15      166.232      14.3196
       3586.7785  1.88567e-14  1.41786e-15      214.572      16.1339
       3592.4882  2.28021e-14  1.53094e-15      263.047      17.6611
       3598.1979  2.06032e-14  1.40909e-15      241.378      16.5083
       3603.9076  1.98471e-14  1.41673e-15      236.448      16.8782
       3609.6173  2.29472e-14  1.48036e-15      278.079      17.9394
       3615.3270  2.01428e-14  1.39797e-15      248.474      17.2448
       3621.0367  1.98881e-14  1.35383e-15      249.983      17.0168
       3626.7464  2.18050e-14  1.37808e-15      279.478      17.6630
       3632.4561  2.24267e-14  1.39984e-15      293.115      18.2957
       3638.1657  2.25617e-14  1.36556e-15      300.861      18.2098
       3643.8754  1.99403e-14  1.28720e-15      271.621      17.5338
       3649.5851  1.92015e-14  1.27175e-15      267.111      17.6912
       3655.2948  1.69468e-14  1.18643e-15      240.733      16.8535
       3661.0045  1.52321e-14  1.15849e-15      220.917      16.8020
       3666.7142  1.58691e-14  1.15535e-15      234.894      17.1014
       3672.4239  1.75001e-14  1.15705e-15      264.310      17.4753
       3678.1336  1.93294e-14  1.19686e-15      297.988      18.4511
       3683.8432  1.99014e-14  1.18963e-15      313.409      18.7344
       3689.5529  2.06299e-14  1.20248e-15      332.206      19.3636
       3695.2626  2.15878e-14  1.21299e-15      355.691      19.9858
