# N Sco 2012
# 2012-06-21T 4: 6:31.7
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       2714.3155      0.00000      0.00000      3.48436      7.29379
       2720.0087      0.00000      0.00000      33.8760      8.27038
       2725.7019      0.00000      0.00000      14.4196      7.91591
       2731.3951      0.00000      0.00000      17.7571      8.38923
       2737.0883      0.00000      0.00000      10.8819      7.45745
       2742.7814      0.00000      0.00000      2.37799      6.32218
       2748.4746      0.00000      0.00000      0.00000      6.00000
       2754.1678      0.00000      0.00000      13.3212      7.06535
       2759.8610      0.00000      0.00000      9.53268      6.76237
       2765.5542      0.00000      0.00000      5.77559      6.86273
       2771.2474      0.00000      0.00000      6.19703      6.92568
       2776.9406      0.00000      0.00000      8.39192      6.77901
       2782.6338      0.00000      0.00000      30.1312      8.28765
       2788.3270      0.00000      0.00000      43.0009      8.92321
       2794.0202      0.00000      0.00000      25.5325      8.52226
       2799.7133      0.00000      0.00000      5.45799      7.49074
       2805.4065      0.00000      0.00000      12.2604      7.37686
       2811.0997      0.00000      0.00000      0.00000      6.00000
       2816.7929      0.00000      0.00000      1.82837      6.14693
       2822.4861      0.00000      0.00000      35.7491      8.87384
       2828.1793      0.00000      0.00000      15.6364      7.62625
       2833.8725      0.00000      0.00000      12.7238      7.55823
       2839.5657      0.00000      0.00000      1.76214      6.21914
       2845.2589      0.00000      0.00000      31.2199      8.08928
       2850.9520      0.00000      0.00000      18.0402      7.63552
       2856.6452      0.00000      0.00000      9.78259      8.02107
       2862.3384      0.00000      0.00000      2.93023      6.74362
       2868.0316      0.00000      0.00000      24.7902      7.88615
       2873.7248      0.00000      0.00000      27.6872      8.48576
       2879.4180      0.00000      0.00000      8.90120      6.97606
       2885.1112      0.00000      0.00000      5.74330      6.50969
       2890.8044      0.00000      0.00000      6.34897      6.56344
       2896.4976      0.00000      0.00000      4.00149      6.73304
       2902.1907      0.00000      0.00000      8.43598      7.70133
       2907.8839      0.00000      0.00000      4.12260      7.04340
       2913.5771      0.00000      0.00000      0.00000      6.00000
       2919.2703      0.00000      0.00000      9.82894      6.74127
       2924.9635      0.00000      0.00000      40.9126      9.09046
       2930.6567      0.00000      0.00000      37.4294      8.88703
       2936.3499      0.00000      0.00000      17.6426      7.57206
       2942.0431      0.00000      0.00000     0.978785      6.12941
       2947.7363      0.00000      0.00000      13.1551      7.70696
       2953.4294      0.00000      0.00000      25.7585      8.54728
       2959.1226      0.00000      0.00000      19.3788      7.70017
       2964.8158      0.00000      0.00000      15.6741      7.91156
       2970.5090      0.00000      0.00000      40.3886      8.84936
       2976.2022      0.00000      0.00000      18.2415      7.93532
       2981.8954      0.00000      0.00000      13.9791      7.28165
       2987.5886      0.00000      0.00000      3.23044      6.26876
       2993.2818      0.00000      0.00000      0.00000      6.00000
       2998.9750      0.00000      0.00000      0.00000      6.00000
