# N Sco 2012
# 2012-06-23T 1:32:19.5
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       5620.7156  1.23343e-13  1.69949e-15      5361.10      73.8685
       5621.8162  1.28382e-13  1.73070e-15      5582.30      75.2541
       5622.9168  1.27210e-13  1.72620e-15      5533.49      75.0876
       5624.0175  1.26479e-13  1.71768e-15      5503.85      74.7462
       5625.1181  1.23539e-13  1.69866e-15      5377.98      73.9472
       5626.2187  1.22627e-13  1.69074e-15      5340.37      73.6310
       5627.3193  1.36294e-13  1.88193e-15      5324.18      73.5156
       5628.4199  1.46399e-13  1.98220e-15      5526.15      74.8224
       5629.5206  1.41112e-13  1.95193e-15      5328.64      73.7085
       5630.6212  1.41305e-13  1.95140e-15      5338.03      73.7171
       5631.7218  1.35144e-13  1.86414e-15      5341.50      73.6792
       5632.8224  1.35061e-13  1.86980e-15      5302.71      73.4111
       5633.9231  1.37838e-13  1.89325e-15      5375.46      73.8337
       5635.0237  1.40356e-13  1.91709e-15      5436.70      74.2584
       5636.1243  1.37377e-13  1.90326e-15      5285.11      73.2215
       5637.2249  1.39384e-13  1.92390e-15      5325.57      73.5079
       5638.3256  1.39024e-13  1.93006e-15      5275.12      73.2340
       5639.4262  1.37711e-13  1.91952e-15      5218.58      72.7405
       5640.5268  1.36968e-13  1.91467e-15      5192.45      72.5850
       5641.6274  1.39443e-13  1.92983e-15      5288.35      73.1883
       5642.7281  1.46881e-13  1.98025e-15      5572.64      75.1301
       5643.8287  1.54959e-13  2.03424e-15      5881.41      77.2091
       5644.9293  1.61491e-13  2.07571e-15      6131.76      78.8141
       5646.0299  1.66724e-13  2.10672e-15      6332.94      80.0227
       5647.1306  1.68967e-13  2.12155e-15      6420.66      80.6180
       5648.2312  1.73825e-13  2.15101e-15      6607.89      81.7698
       5649.3318  1.77002e-13  2.17145e-15      6731.31      82.5792
       5650.4324  1.82972e-13  2.20561e-15      6961.10      83.9113
       5651.5331  1.85609e-13  2.21993e-15      7064.17      84.4893
       5652.6337  1.88430e-13  2.23668e-15      7174.45      85.1614
       5653.7343  1.96355e-13  2.28298e-15      7479.20      86.9595
       5654.8349  2.02151e-13  2.31751e-15      7703.10      88.3103
       5655.9356  2.05426e-13  2.33426e-15      7831.08      88.9845
       5657.0362  2.10028e-13  2.35835e-15      8009.75      89.9394
