# N Sco 2012
# 2012-06-25T01:28:12.300
# 
#     Wavelength       Flux    Uncertainty       Counts  Uncertainty
# 
       3649.7977  2.04393e-14  9.28710e-16      552.739      25.1150
       3651.2747  1.98290e-14  9.12771e-16      537.234      24.7300
       3652.7516  2.07563e-14  9.36205e-16      563.407      25.4122
       3654.2286  2.15794e-14  9.54407e-16      586.840      25.9546
       3655.7056  2.23887e-14  9.64483e-16      609.987      26.2776
       3657.1826  2.20232e-14  9.50208e-16      601.148      25.9370
       3658.6596  3.09810e-14  1.31195e-15      627.226      26.5611
       3660.1365  3.73710e-14  1.57008e-15      636.788      26.7536
       3661.6135  3.33762e-14  1.48025e-15      569.780      25.2701
       3663.0905  3.36510e-14  1.47600e-15      575.545      25.2446
       3664.5675  2.50207e-14  1.17848e-15      507.090      23.8841
       3666.0445  2.52803e-14  1.19903e-15      500.745      23.7501
       3667.5214  2.17813e-14  1.15085e-15      421.402      22.2654
       3668.9984  2.10390e-14  1.14081e-15      397.307      21.5434
       3670.4754  2.02683e-14  1.15926e-15      373.338      21.3533
       3671.9524  2.11720e-14  1.17484e-15      380.114      21.0927
       3673.4294  2.56764e-14  1.32475e-15      448.966      23.1639
       3674.9063  3.23405e-14  1.45416e-15      561.461      25.2456
       3676.3833  3.67288e-14  1.51643e-15      638.840      26.3759
       3677.8603  3.85212e-14  1.56978e-15      671.271      27.3550
       3679.3373  3.79257e-14  1.57282e-15      662.257      27.4645
       3680.8143  4.21894e-14  1.62221e-15      738.308      28.3884
       3682.2912  4.56746e-14  1.67773e-15      801.130      29.4274
       3683.7682  4.56687e-14  1.68212e-15      803.057      29.5790
       3685.2452  4.79291e-14  1.70351e-15      845.219      30.0410
       3686.7222  4.54782e-14  1.66351e-15      804.480      29.4263
       3688.1992  4.47801e-14  1.65801e-15      794.680      29.4236
       3689.6761  4.36409e-14  1.62898e-15      776.976      29.0022
       3691.1531  4.18166e-14  1.59002e-15      746.930      28.4010
       3692.6301  4.06444e-14  1.57160e-15      728.549      28.1709
       3694.1071  3.70940e-14  1.51066e-15      667.249      27.1738
       3695.5841  3.77522e-14  1.51211e-15      681.564      27.2991
       3697.0610  3.83611e-14  1.51909e-15      695.139      27.5274
       3698.5380  3.69258e-14  1.49509e-15      672.000      27.2087
       3700.0150  3.56977e-14  1.46163e-15      652.468      26.7151
       3701.4920  3.69547e-14  1.48525e-15      678.449      27.2675
       3702.9690  3.69533e-14  1.49780e-15      681.477      27.6217
       3704.4459  3.87741e-14  1.52260e-15      718.336      28.2080
       3705.9229  3.97140e-14  1.52810e-15      738.926      28.4321
       3707.3999  4.07410e-14  1.54928e-15      761.416      28.9549
       3708.8769  3.94890e-14  1.52903e-15      741.337      28.7049
       3710.3539  4.05831e-14  1.53441e-15      765.501      28.9428
       3711.8308  4.20582e-14  1.55605e-15      797.281      29.4975
       3713.3078  4.29791e-14  1.56858e-15      818.852      29.8851
       3714.7848  4.33134e-14  1.56450e-15      829.281      29.9539
       3716.2618  4.27751e-14  1.55289e-15      822.868      29.8731
       3717.7388  4.15005e-14  1.53614e-15      802.212      29.6939
       3719.2158  3.93065e-14  1.48696e-15      763.758      28.8929
       3720.6927  3.69627e-14  1.43042e-15      722.343      27.9539
       3722.1697  3.37674e-14  1.37148e-15      664.001      26.9688
       3723.6467  3.36468e-14  1.36818e-15      665.771      27.0723
       3725.1237  3.39503e-14  1.37168e-15      676.016      27.3127
       3726.6007  3.28455e-14  1.34430e-15      658.062      26.9332
       3728.0776  3.39460e-14  1.36184e-15      684.245      27.4505
       3729.5546  3.46597e-14  1.37670e-15      702.550      27.9057
       3731.0316  3.45744e-14  1.37182e-15      704.787      27.9640
       3732.5086  3.70693e-14  1.40793e-15      759.940      28.8633
       3733.9856  3.79325e-14  1.41762e-15      782.160      29.2310
       3735.4625  3.76709e-14  1.40635e-15      781.289      29.1674
       3736.9395  3.94251e-14  1.42801e-15      822.580      29.7944
       3738.4165  3.80914e-14  1.40498e-15      799.558      29.4914
       3739.8935  3.59585e-14  1.36152e-15      759.464      28.7561
       3741.3705  3.37359e-14  1.32115e-15      716.733      28.0684
       3742.8474  2.74655e-14  1.20091e-15      586.816      25.6581
       3744.3244  2.30440e-14  1.10113e-15      495.072      23.6564
       3745.8014  2.08170e-14  1.06270e-15      449.700      22.9569
       3747.2784  2.30142e-14  1.09807e-15      499.911      23.8520
       3748.7554  2.77565e-14  1.18148e-15      606.167      25.8020
       3750.2323  3.23860e-14  1.26742e-15      710.812      27.8174
       3751.7093  3.75503e-14  1.35783e-15      827.762      29.9321
       3753.1863  4.36774e-14  1.47020e-15      966.562      32.5350
       3754.6633  4.71430e-14  1.50937e-15      1047.04      33.5230
       3756.1403  4.98581e-14  1.53955e-15      1111.55      34.3231
       3757.6172  5.08187e-14  1.54924e-15      1137.68      34.6828
       3759.0942  5.62903e-14  1.62167e-15      1265.91      36.4696
       3760.5712  5.64436e-14  1.62859e-15      1275.47      36.8016
       3762.0482  5.76975e-14  1.63710e-15      1310.23      37.1761
       3763.5252  5.73056e-14  1.62209e-15      1307.70      37.0157
       3765.0021  5.82061e-14  1.63131e-15      1334.68      37.4064
       3766.4791  5.83149e-14  1.63917e-15      1343.65      37.7685
       3767.9561  5.79388e-14  1.62801e-15      1341.44      37.6926
       3769.4331  6.16190e-14  1.66385e-15      1433.42      38.7055
       3770.9101  6.08773e-14  1.65165e-15      1422.83      38.6024
       3772.3870  5.93799e-14  1.63495e-15      1394.57      38.3977
       3773.8640  5.70908e-14  1.59399e-15      1347.71      37.6285
